speaker,pos
jonathan,please/NN excuse/NN I/PRP have/VBP copied/VBN this/DT too/RB the/DT list/NN as/IN there/EX has/VBZ been/VBN some/DT discussion/NN over/IN the/DT past/JJ 24/CD months/NNS as/IN to/TO the/DT use/NN or/CC lack/NN thereof/NN of/IN animation/NN
jonathan,jonathan/NN chetwynd/NN
jonathan,
jonathan,special/JJ needs/VBZ teacher/NN
jonathan,web/JJ accessibility/NN consultant/NN
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
jonathan,
William,
William,WL:/NNP I/PRP wish/VBP I/PRP could/MD understand/VB the/DT notion/NN of/IN making/VBG reading/VBG more/RBR possible/JJ within/IN an/DT environment/NN that/WDT was/VBD not/RB
William,Perhaps/RB it/PRP would/MD be/VB for/IN people/NNS for/IN whom/WP text/NN is/VBZ a/DT problem/NN but/CC just/RB how/WRB is/VBZ it/PRP
William,In/IN at/IN least/JJS the/DT commonest/JJS definition/NN of/IN the/DT word/NN the/DT matter/NN that/WDT one/CD reads/VBZ is/VBZ
William,"I/PRP understand/VBP the/DT part/NN about/IN not/RB requiring/VBG a/DT environment/NN ,/, but/CC not/RB"
William,
William,Love/NNP ./.
William,ACCESSIBILITY/NNP IS/NNP RIGHT/NNP -/: NOT/NNP PRIVILEGE/NNP
Kynn,
Kynn,"This/DT is/VBZ not/RB necessarily/RB the/DT case/NN ,/, William/NNP ./."
Kynn,There/EX is/VBZ a/DT lot/NN of/IN reading/VBG that/DT is/VBZ
Kynn,"I/PRP _highly_/VBP recommend/VB ,/, to/TO everyone/NN on/IN this/DT list/NN ,/, the/DT book/NN ""Understanding/VBG Comics""/NNP by/IN Scott/NNP McCloud/NNP ./."
Kynn,"It/PRP deals/VBZ with/IN the/DT comic/JJ book/NN medium/NN and/CC has/VBZ some/DT interesting/JJ thoughts/NNS and/CC concepts/NNS on/IN the/DT ""language/NN of/IN comics""/NN as/IN a/DT blend/NN between/IN graphical/JJ and/CC text/JJ media/NNS ./."
Kynn,"In/IN fact/NN ,/, I/PRP have/VBP it/PRP on/IN the/DT shelf/NN behind/IN me/PRP at/IN work/NN as/IN I/PRP type/VBP this/DT ,/, beside/VB my/PRP$ XHTML/NN ,/, XSLT/NNP ,/, CSS/NNP ,/, usability/NN ,/, and/CC disability/NN references/NNS ./."
Kynn,
Kynn,
Kynn,Kynn/NNP Bartlett/NNP
Kynn,"Director/NN of/IN Accessibility/NNP ,/, Edapta/NNP"
Kynn,"Chief/JJ Technologist/NNP ,/, Idyll/NNP Mountain/NNP Internet/NNP"
Kynn,AWARE/NNP Center/NNP Director/NNP
Kynn,Vote/NN for/IN Liz/NNP for/IN N/NNP ./. Am/NNP ./. ICANN/NNP Nominee/NNP !/.
"Poehlman,",anyone/NN have/VBP a/DT dictionary/JJ handy/NN ?/.
Ali/Theo,
Ali/Theo,Jonathan/NN
Ali/Theo,-/: I/PRP was/VBD wondering/VBG if/IN you/PRP would/MD explain/VB your/PRP$ work/NN in/IN this/DT area/NN ./.
Ali/Theo,I/PRP am/VBP currently/RB doing/VBG an/DT MSc/NNP in/IN Computer/NNP Studies/NNPS and/CC my/PRP$ project/NN is/VBZ looking/VBG at/IN web/JJ accessibility/NN for/IN people/NNS with/IN learning/JJ disabilities/NNS ./.
Ali/Theo,I/PRP would/MD appreciate/VB any/DT useful/JJ that/IN you/PRP or/CC anyone/NN else/RB reading/VBG this/DT may/MD have/VB ./.
Ali/Theo,Thanks/NNS !/.
Ali/Theo,Ali/NN
Al,
Al,Is/VBZ this/DT bookshelf/NN documented/VBN on/IN or/CC would/MD you/PRP consider/VB sharing/VBG with/IN us/PRP a/DT short/JJ list/NN of/IN the/DT references/NNS you/PRP find/VBP the/DT most/RBS helpful/JJ ?/.
Al,Al/NN
Kynn,
Kynn,"Hey/NNP ,/, that/WDT is/VBZ not/RB a/DT bad/JJ idea/NN ./."
Kynn,"In/IN fact/NN ,/, I/PRP encourage/VBP everyone/NN else/RB to/TO share/NN their/PRP$ favorite/JJ bookshelf/NN collections/NNS"
Kynn,if/IN relevant/JJ to/TO WAI/NNP activities/NNS ./.
Kynn,I/PRP shall/MD post/VB mine/NN on/IN kynn.com/NN tomorrow/NN when/WRB I/PRP am/VBP back/RB in/IN the/DT office/NN ./.
Kynn,
Kynn,
Kynn,
Kynn,Kynn/NNP Bartlett/NNP
Kynn,
