speaker,pos
Libby,"hi/NN all/DT ,/,"
Libby,"As/IN outlined/VBN at/IN the/DT face/NN to/TO face/VB meet/NN ,/, I/PRP have/VBP been/VBN working/VBG on/IN methods/NNS of/IN getting/VBG coordinate/JJ information/NN about/IN the/DT locations/NNS of/IN Semantic/NNP web/NN researchers/NNS and/CC groups/NNS ./."
Libby,I/PRP wrote/VBD to/TO the/DT list/NN asking/VBG for/IN data:/NN
Libby,
Libby,so/IN we/PRP will/MD have/VB to/TO see/VB how/WRB that/DT pans/VBZ out/RP ./.
Libby,Please/VB do/VB add/VB yourselves/NNS if/IN you/PRP have/VBP not/RB already/RB there/RB (I/JJ just/RB did/VBD a/DT few/JJ as/IN
Libby,"There/EX are/VBP some/DT SVG/NNP demos/NN ,/, developed/VBN from/IN ones/NNS by/IN Jim/NNP Ley/NNP ,/, displaying/VBG the/DT information/NN we/PRP have/VBP already/RB ,/, which/WDT I/PRP constructed/VBD as/IN examples:/NN"
Libby,
Libby,"So/RB ,/, now/RB we/PRP have/VBP to/TO decide/VB on/IN the/DT map/NN which/WDT we/PRP will/MD use/VB to/TO overlay/VB the/DT dots/NNS on/IN ./."
Libby,"We/PRP want/VBP something/NN that/WDT will/MD highlight/VB Europe/NNP ,/, especially/RB since/IN on/IN a/DT world/NN map/NN ,/, Europe/NNP is/VBZ too/RB small/JJ to/TO really/RB show/VB up/RP on/IN provide/IN the/DT level/NN of/IN detail/NN we/PRP require/VBP ./."
Libby,"At/IN ILRT/NNP ,/, Caroline/NNP Meek/NNP ,/, Dan/NNP and/CC I/PRP have/VBP had/VBN discussions/NNS with/IN a/DT designer/NN ,/, and/CC he/PRP has/VBZ pointed/VBN us/PRP at/IN some/DT examples/NNS ,/, and/CC we/PRP have/VBP narrowed/VBN it/PRP down/RP to/TO two/CD that/IN we/PRP rather/RB like:/VBD"
Libby,
