speaker,pos
Martin,We/PRP are/VBP trying/VBG to/TO do/VB advanced/RP planning/NN for/IN a/DT F2F/NNP in/IN September/NNP ./.
Martin,"Because/IN of/IN the/DT membership/NN overlap/NN with/IN the/DT OASIS/NNP BPEL/NNP TC/NNP ,/, we/PRP would/MD like/VB to/TO try/VB and/CC co-locate/VB with/IN their/PRP$ meetings/NNS ./."
Martin,"This/DT is/VBZ not/RB a/DT joint/JJ meeting/NN ,/, and/CC is/VBZ being/VBG proposed/VBN purely/RB to/TO ease/VB travel/NN logistics/NNS and/CC members'/NN costs/NNS ./."
Martin,"The/DT OASIS/NNP TC/NNP is/VBZ proposing/VBG to/TO meet/VB 17/CD 18/CD ,/, and/CC 19/CD September/NNP ,/, either/RB in/IN Seattle/NNP or/CC Germany/NNP ./."
Martin,"Thus/RB it/PRP makes/VBZ sense/NN to/TO try/VB and/CC meet/VB on/IN 15/CD ,/, 16/CD ,/, and/CC 17/CD September/NNP ./."
Martin,Can/MD people/NNS check/VB their/PRP$ diaries/NNS for/IN these/DT dates/NNS and/CC inform/VB the/DT chairs/NNS asap/NN ./.
Martin,"SAP/NNS have/VBP offered/VBN to/TO host/VB the/DT meeting/NN in/IN Germany/NNP (thanks/NNS but/CC should/MD the/DT BPEL/NNP TC/NNP decide/VB to/TO meet/VB in/IN Seattle/NNP ,/, we/PRP would/MD need/VB to/TO find/VB a/DT host/NN ./."
Martin,Offers/NNS gratefully/RB accepted/VBD ./.
Martin,"Cheers/NNS ,/,"
Martin,Martin/NNP ./.
Martin,_________________________________________________________________/NN
Martin,Martin/NNP Chapman/NNP 500/CD Oracle/NNP Parkway/NNP
Martin,Consulting/VBG Member/NNP of/IN Technical/NNP Staff/NNP Ms/NNP 4op990/CD
Martin,"Oracle/NNP Redwood/NNP Shores/NNP ,/,"
Martin,P:/NNP +1/VBD 650/CD 506/CD 6941/CD CA/NNP 94065/CD
Martin,e:/NN USA/NNP
Francis,Where/WRB in/IN Germany/NNP ?/.
Francis,"On/IN Friday/NNP ,/, May/NNP 30/CD ,/, 2003/CD ,/, at/IN 09:13/CD AM/NNP ,/, Martin/NNP Chapman/NNP wrote:/NN"
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Francis,
Carol,SAP/NNP is/VBZ in/IN Waldorf/NNP not/RB far/RB from/IN Heidelberg/NNP
Carol,Francis/NNP McCabe/NNP wrote:/NN
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Carol,
Monica,
Monica,
Monica,
Monica,mm1:/NN This/DT overlaps/VBZ with/IN SunNetworks/NNP ./.
Monica,Could/MD we/PRP investigate/VB trying/VBG the/DT next/JJ week/NN ?/.
Martin,"it/PRP is/VBZ certainly/RB possible/JJ ,/, but/CC we/PRP should/MD not/RB get/VB into/IN an/DT n-phase/JJ transaction:/NN"
Martin,if/IN its/PRP$ in/IN germany/NN those/DT that/WDT want/VBP to/TO attend/VB both/DT meetings/NNS get/VBP a/DT weekend/NN in/IN Heidelburg/NNP ./.
Martin,If/IN BPEl/NNP decides/VBZ to/TO meet/VB in/IN Seattle/NNP I/PRP am/VBP not/RB sure/JJ many/JJ would/MD have/VB such/JJ a/DT weekend/NN stayover/NN ./.
Martin,Of/IN course/NN of/IN bpel/JJ meet/VB the/DT following/VBG week/NN
Martin,You/PRP see/VBP where/WRB I/PRP am/VBP going/VBG with/IN this/DT !/.
Martin,Mart/NNP
Martin,
Martin,
Martin,
Martin,
Martin,
Martin,
