speaker,pos
S1,My/PRP$ apologizies/NNS ./.
S1,I/PRP read/VBP it/PRP hastily/RB and/CC got/VBD it/PRP completely/RB bassackwards/NNS ./.
S1,"The/DT CBO/NNP estimate/NN in/IN your/PRP$ link/NN did/VBD ,/, indeed/RB ,/, say/VBP that/IN the/DT result/NN would/MD be/VB up/RB to/TO ~/VB $1/NNP Billion/NNP surplus/NN ./."
S2,"So/RB you/PRP also/RB recognize/VBP that/IN your/PRP$ argument/NN that/IN same-sex/JJ marriage/NN does/VBZ not/RB benefit/VB society/NN is/VBZ also/RB ""/JJ bassackwards/NNS ""/VBN ?/. Finally!/NNP Some/DT progress/NN ./."
S2,Remember/VB ./.
S2,this/DT thread/NN is/VBZ supposed/VBN to/TO be/VB about/RB fiscal/JJ concerns/NNS ./.
S1,I/PRP have/VBP conceded/VBN that/IN it/PRP does/VBZ not/RB have/VB the/DT negative/JJ financial/JJ impact/NN that/IN I/PRP thought/VBD it/PRP would/MD ./.
S1,That/DT WAS/VBD the/DT purpose/NN for/IN my/PRP$ attempting/VBG to/TO have/VB a/DT civil/JJ debate/NN on/IN what/WP I/PRP thought/VBD the/DT issues/NNS were/VBD ./.
S1,I/PRP had/VBD like/IN to/TO move/VB past/IN the/DT fiscal/JJ concerns/NNS and/CC onto/IN the/DT moral/JJ and/CC health/NN concerns/NNS if/IN we/PRP can/MD continue/VB to/TO do/VB you/PRP with/IN civility/NN ./.
S2,"Gosh/NNP ,/, I/PRP love/VBP a/DT good/JJ typo!/NN In/IN any/DT case/NN ,/, I/PRP suppose/VBP a/DT tepid/JJ concession/NN is/VBZ all/DT we/PRP can/MD expect/VB ./."
S1,Good/JJ catch/NN ./.
S1,And/CC you/PRP were/VBD hoping/VBG for/IN ./.
S1,?/. ./.
S2,A/DT forthright/JJ concession/NN ./.
S2,Any/DT maybe/RB some/DT discussion/NN of/IN how/WRB same-sex/JJ marriage/NN benefits/NNS society/NN in/IN practical/JJ ways/NNS ./.
S2,"Instead/RB ,/, we/PRP are/VBP off/IN to/TO your/PRP$ safe/JJ ground/NN of/IN ""/NNP morality/NN ""/NN ./."
S2,"Safe/NNP ,/, not/RB because/IN you/PRP are/VBP right/JJ ,/, but/CC because/IN morality/NN IS/NNP relative/JJ and/CC IS/NNP subjective/JJ ./."
