speaker,pos
S1,it/PRP is/VBZ not/RB bigotry/VB that/IN motivates/VBZ me/PRP to/TO oppose/VB gay/JJ marriage/NN ./.
S1,it/PRP is/VBZ the/DT fact/NN that/IN it/PRP will/MD hurt/VB more/JJR people/NNS than/IN it/PRP helps/VBZ and/CC that/IN the/DT benefits/NNS deserved/VBN by/IN gays/NNS can/MD be/VB had/VBN without/IN redefining/VBG ./.
S1,it/PRP is/VBZ just/RB that/RB simple/JJ ./.
S1,No/DT bigotry/NN ./.
S1,just/RB facts/NNS ./.
S2,Just/RB who/WP in/IN the/DT hell/NN is/VBZ it/PRP hurting/VBG ?/. ./.
S1,Not/RB me/PRP ./.
S1,I/PRP am/VBP divorced!/JJ ;)/NN It/PRP hurts/VBZ the/DT people/NNS who/WP view/VBP marriage/NN as/IN a/DT sacred/JJ bond/NN between/IN a/DT man/NN and/CC a/DT woman/NN ./.
S1,and/CC there/EX is/VBZ a/DT BUNCH/NNP of/IN them/PRP ./.
S1,a/DT BIG/NNP bunch!/NN I/PRP had/VBD say/VBP that/IN bunch/NN of/IN people/NNS is/VBZ about/IN a/DT hundred/JJ times/NNS greater/JJR than/IN the/DT little/JJ bunch/NN that/WDT wants/VBZ to/TO destroy/VB that/DT idea/NN ./.
S1,"If/IN it/PRP were/VBD such/JJ that/IN the/DT rights/NNS and/CC benefits/NNS granted/VBN to/TO married/VB couples/NNS could/MD not/RB be/VB granted/VBN to/TO gays/NNS without/IN allowing/VBG them/PRP to/TO '/'' marry/NN '/'' ,/, then/RB I/PRP had/VBD say/VBP the/DT big/JJ bunch/NN needs/NNS to/TO suck/VB it/PRP up/RP and/CC relent/NN ./."
S1,"However/RB ,/, that/DT is/VBZ not/RB the/DT case/NN ./."
S2,Tough/IN ./.
S2,"Real/JJ measurable/JJ damages/NNS ,/, please/NN ./."
S2,Offending/VBG a/DT bunch/NN of/IN folk's/JJ sensibilities/NNS is/VBZ not/RB damage/VB ./.
S2,"Appeasing/VBG faith/NN justified/JJ hate/NN however/RB ,/, IS/NNP in/IN a/DT secular/JJ society/NN ./."
S1,there/EX is/VBZ no/DT hate/NN here/RB ./.
S1,Then/RB let/VB us/PRP not/RB be/VB worried/VBN with/IN the/DT sensibilities/NNS of/IN either/DT bunch/NN ./.
S1,"If/IN hurting/VBG your/PRP$ sensibilities/NNS should/MD not/RB count/VB ,/, then/RB the/DT legitimization/NN of/IN gay/JJ life/NN should/MD be/VB henceforth/JJ unimportant/JJ to/TO you/PRP ./."
S1,The/DT only/JJ consideration/NN should/MD be/VB the/DT rights/NNS ./.
S1,I/PRP say/VBP you/PRP are/VBP entitled/VBN to/TO all/PDT the/DT rights/NNS and/CC I/PRP say/VBP that/IN it/PRP is/VBZ unnecessary/JJ to/TO redefine/VB marriage/NN in/IN order/NN to/TO get/VB them/PRP ./.
S1,You/PRP will/MD say/VB that/IN it/PRP (/( redefinition/NN )/) is/VBZ the/DT easiest/JJS way/NN to/TO assure/VB the/DT rights/NNS ./.
S1,I/PRP say/VBP it/PRP is/VBZ unecessary/JJ ./.
S1,None/NN of/IN this/DT constitutes/NNS bigotry/VBP ./.
S1,Find/IN a/DT real/JJ fault/NN with/IN the/DT argument/NN that/IN redefinition/NN is/VBZ unnecessary/JJ ./.
S1,"Show/VB some/DT actual/JJ ,/, measurable/JJ damages/NNS caused/VBN by/IN not/RB redefining/VBG ./."
S2,Bull/NN ./.
S2,I/PRP am/VBP not/RB buying/VBG ./.
S2,"One/CD of/IN my/PRP$ all/DT time/NN favorite/JJ quotes/NNS ;/: ""/CC I/PRP can/MD see/VB a/DT church/NN by/IN daylight/JJ ""/NN or/CC if/IN you/PRP prefer/VBP ;/: ""/CC If/IN it/PRP looks/VBZ like/IN a/DT duck/NN and/CC qucaks/NNS like/IN a/DT duck/NN ./."
S2,"""/NN ./."
S1,and/CC I/PRP am/VBP not/RB selling/VBG ./.
S1,"If/IN you/PRP want/VBP to/TO claim/VB I/PRP am/VBP a/DT hate-filled/JJ bigot/NN ,/, please/VB quote/VB a/DT passage/NN where/WRB I/PRP expressed/VBD it/PRP ./."
S1,"If/IN you/PRP cannot/VBP do/VB that/DT ,/, find/VB something/NN else/RB to/TO throw/VB my/PRP$ way/NN ./."
S1,"I/PRP have/VBP argued/VBN with/IN cold/JJ logic/NN ,/, favoring/VBG nobody/NN ./."
S1,There/EX is/VBZ no/DT need/NN to/TO redefine/VB marriage/NN ./.
S1,Dissatisfaction/NN in/IN not/RB being/VBG eligible/JJ for/IN marriage/NN does/VBZ not/RB constitute/VB a/DT need/NN ./.
